document,query_name,n_candidates,correct_rank,is_top1,similarities,ranking,names
ccl77c00-page02_2,WILLIAM C SQUIRES,3,1,True,"[-0.2918848991394043, -0.1868385374546051, 0.5735005140304565]","[2, 1, 0]","['GARY W WORRELL', 'MARJORIE P NEWELL', 'WILLIAM C SQUIRES']"
cgv39d00,C H STANWOOD,2,2,False,"[0.5584645867347717, 0.6015828251838684]","[1, 0]","['C H STANWOOD', 'STARWOOD']"
cgv39d00,STARWOOD,2,1,True,"[0.5243266224861145, 0.5948084592819214]","[1, 0]","['C H STANWOOD', 'STARWOOD']"
cji44a00,KATHY A MURPHY,2,1,True,"[0.7503018379211426, 0.01899208314716816]","[0, 1]","['KATHY A MURPHY', 'MARK W COWING']"
cji44a00,MARK W COWING,2,1,True,"[-0.12664413452148438, 0.6549150347709656]","[1, 0]","['KATHY A MURPHY', 'MARK W COWING']"
cjy33f00-page02_2,GEORGE E STURGIS,2,1,True,"[0.5309505462646484, -0.23220105469226837]","[0, 1]","['GEORGE E STURGIS', 'ROLF PASLEK']"
cjy33f00-page02_2,ROLF PASLEK,2,1,True,"[-0.26808467507362366, 0.5096635818481445]","[1, 0]","['GEORGE E STURGIS', 'ROLF PASLEK']"
cxk72e00-page03_3,ADOLFO KUENNEN,2,1,True,"[0.2682049572467804, 0.08387893438339233]","[0, 1]","['ADOLFO KUENNEN', 'ENULE']"
cxk72e00-page03_3,ENULE,2,1,True,"[0.1964133381843567, 0.5906074643135071]","[1, 0]","['ADOLFO KUENNEN', 'ENULE']"
dfm53d00,S A MACKINNON,2,1,True,"[0.6345193982124329, -0.13608132302761078]","[0, 1]","['S A MACKINNON', 'STEVEN L SNYDER']"
dfm53d00,STEVEN L SNYDER,2,1,True,"[-0.08226276934146881, 0.5792580842971802]","[1, 0]","['S A MACKINNON', 'STEVEN L SNYDER']"
dgi64c00,ALLAN G RODILLE,4,1,True,"[0.5607268214225769, 0.46322283148765564, 0.04180155321955681, 0.04159233346581459]","[0, 1, 2, 3]","['ALLAN G RODILLE', 'DELAYNE ALLIKER', 'F J SCHULTZ', 'LORILLARD']"
dgi64c00,DELAYNE ALLIKER,4,1,True,"[0.35924744606018066, 0.5628668069839478, -0.013652872294187546, -0.05976840853691101]","[1, 0, 2, 3]","['ALLAN G RODILLE', 'DELAYNE ALLIKER', 'F J SCHULTZ', 'LORILLARD']"
dgi64c00,F J SCHULTZ,4,1,True,"[0.12992441654205322, 0.16129934787750244, 0.7287588715553284, 0.031554222106933594]","[2, 1, 0, 3]","['ALLAN G RODILLE', 'DELAYNE ALLIKER', 'F J SCHULTZ', 'LORILLARD']"
dgi64c00,LORILLARD,4,1,True,"[0.1341831088066101, 0.27100062370300293, 0.019858965650200844, 0.6607792377471924]","[3, 1, 0, 2]","['ALLAN G RODILLE', 'DELAYNE ALLIKER', 'F J SCHULTZ', 'LORILLARD']"
efm53d00,A A MACKINNON,3,1,True,"[0.5958471894264221, -0.07509597390890121, -0.050572626292705536]","[0, 2, 1]","['A A MACKINNON', 'STEVE L SNYDER', 'W K NEHER']"
efm53d00,STEVE L SNYDER,3,1,True,"[0.003591781947761774, 0.5590929985046387, 0.010039785876870155]","[1, 2, 0]","['A A MACKINNON', 'STEVE L SNYDER', 'W K NEHER']"
efm53d00,W K NEHER,3,1,True,"[0.09598294645547867, 0.021258223801851273, 0.635665237903595]","[2, 0, 1]","['A A MACKINNON', 'STEVE L SNYDER', 'W K NEHER']"
eys04c00-page04_4,CHRISTOPHER J FERRARO,2,1,True,"[0.595999002456665, 0.2233426570892334]","[0, 1]","['CHRISTOPHER J FERRARO', 'HUMPHREY']"
eys04c00-page04_4,HUMPHREY,2,1,True,"[0.04612771049141884, 0.5234614014625549]","[1, 0]","['CHRISTOPHER J FERRARO', 'HUMPHREY']"
fny38c00-page05_5,EILEEN,3,1,True,"[0.5363820791244507, 0.43373197317123413, 0.07877679914236069]","[0, 1, 2]","['EILEEN', 'EILEEN S GWYNN', 'INA BROEMAN']"
fny38c00-page05_5,EILEEN S GWYNN,3,2,False,"[0.6091184020042419, 0.5254141092300415, 0.04829981550574303]","[0, 1, 2]","['EILEEN', 'EILEEN S GWYNN', 'INA BROEMAN']"
fny38c00-page05_5,INA BROEMAN,3,1,True,"[0.1538030207157135, 0.06105201691389084, 0.3649461269378662]","[2, 0, 1]","['EILEEN', 'EILEEN S GWYNN', 'INA BROEMAN']"
ggp21c00-var,V LANCE TARRANCE JR,2,1,True,"[0.5643699169158936, -0.016136424615979195]","[0, 1]","['V LANCE TARRANCE JR', 'VIGO G NIELSEN']"
ggp21c00-var,VIGO G NIELSEN,2,1,True,"[-0.03329242765903473, 0.5769945383071899]","[1, 0]","['V LANCE TARRANCE JR', 'VIGO G NIELSEN']"
gsa_(R)LDC02012-SLA-2-01,JOEL T BERELSON,2,1,True,"[0.39009419083595276, 0.01754089631140232]","[0, 1]","['JOEL T BERELSON', 'ROSIE THOMAS']"
gsa_(R)LDC02012-SLA-2-01,ROSIE THOMAS,2,1,True,"[0.07485032081604004, 0.5734494924545288]","[1, 0]","['JOEL T BERELSON', 'ROSIE THOMAS']"
gsa_(R)LDC02012-SLA-3-01,JOEL T BERELSON,2,1,True,"[0.4512210786342621, -0.05146623030304909]","[0, 1]","['JOEL T BERELSON', 'RASIE THOMAS']"
gsa_(R)LDC02012-SLA-3-01,RASIE THOMAS,2,1,True,"[0.027108632028102875, 0.7154186367988586]","[1, 0]","['JOEL T BERELSON', 'RASIE THOMAS']"
gsa_(R)LDC02012-SLA-4-01,JOEL T BERELSON,2,1,True,"[0.28866520524024963, 0.035333387553691864]","[0, 1]","['JOEL T BERELSON', 'RASIE THOMAS']"
gsa_(R)LDC02012-SLA-4-01,RASIE THOMAS,2,1,True,"[0.13182678818702698, 0.6149140000343323]","[1, 0]","['JOEL T BERELSON', 'RASIE THOMAS']"
gsa_(R)LDC02012-SLA-5-01,JOEL T BERELSON,2,1,True,"[0.4196197986602783, -0.015220602042973042]","[0, 1]","['JOEL T BERELSON', 'RASIE THOMAS']"
gsa_(R)LDC02012-SLA-5-01,RASIE THOMAS,2,1,True,"[-0.015131264925003052, 0.6266067624092102]","[1, 0]","['JOEL T BERELSON', 'RASIE THOMAS']"
gsa_(R)LDC02012-SLA-6-01,THOMAS R SAMMY,3,1,True,"[0.6647497415542603, -0.012109383940696716, -0.19394028186798096]","[0, 1, 2]","['THOMAS R SAMMY', 'WALTER M ROBERT', 'YUDY ORTIZ']"
gsa_(R)LDC02012-SLA-6-01,WALTER M ROBERT,3,1,True,"[0.0060774399898946285, 0.5077906847000122, -0.049045342952013016]","[1, 0, 2]","['THOMAS R SAMMY', 'WALTER M ROBERT', 'YUDY ORTIZ']"
gsa_(R)LDC02012-SLA-6-01,YUDY ORTIZ,3,1,True,"[-0.06617356836795807, 0.10143321007490158, 0.5646555423736572]","[2, 1, 0]","['THOMAS R SAMMY', 'WALTER M ROBERT', 'YUDY ORTIZ']"
gsa_(R)LDC02012-SLA-7-01,JOEL T BERELSON,2,1,True,"[0.34954017400741577, -0.09531360119581223]","[0, 1]","['JOEL T BERELSON', 'SHEW COMMEROW']"
gsa_(R)LDC02012-SLA-7-01,SHEW COMMEROW,2,1,True,"[0.08688122779130936, 0.5103598833084106]","[1, 0]","['JOEL T BERELSON', 'SHEW COMMEROW']"
gsa_(R)LDC02066-SLA-1-01,JOE T BENL,2,1,True,"[0.531251072883606, 0.13010182976722717]","[0, 1]","['JOE T BENL', 'RASIE THOMAS']"
gsa_(R)LDC02066-SLA-1-01,RASIE THOMAS,2,1,True,"[0.13113069534301758, 0.600131094455719]","[1, 0]","['JOE T BENL', 'RASIE THOMAS']"
gsa_(R)LDC02066-SLA-2-01,JOE T BERELSON,2,1,True,"[0.5712611675262451, 0.027287930250167847]","[0, 1]","['JOE T BERELSON', 'RASIE THOMAS']"
gsa_(R)LDC02066-SLA-2-01,RASIE THOMAS,2,1,True,"[-0.06343932449817657, 0.5554317831993103]","[1, 0]","['JOE T BERELSON', 'RASIE THOMAS']"
gsa_(R)LDC02066-SLA-3-01,NICHOLAS F BRADY,3,1,True,"[0.45847266912460327, 0.06699984520673752, 0.042647890746593475]","[0, 1, 2]","['NICHOLAS F BRADY', 'THOMAS R SMITTY', 'YUDY ORTIZ']"
gsa_(R)LDC02066-SLA-3-01,THOMAS R SMITTY,3,1,True,"[0.009896136820316315, 0.3654121160507202, 0.006282658316195011]","[1, 0, 2]","['NICHOLAS F BRADY', 'THOMAS R SMITTY', 'YUDY ORTIZ']"
gsa_(R)LDC02066-SLA-3-01,YUDY ORTIZ,3,1,True,"[0.037451859563589096, -0.08526679128408432, 0.55293869972229]","[2, 0, 1]","['NICHOLAS F BRADY', 'THOMAS R SMITTY', 'YUDY ORTIZ']"
gsa_(R)LDC02066-SLA-4-01,JOE T BERELSON,2,1,True,"[0.556197464466095, 0.36902597546577454]","[0, 1]","['JOE T BERELSON', 'SANDRA DONALDSON']"
gsa_(R)LDC02066-SLA-4-01,SANDRA DONALDSON,2,1,True,"[0.2201889008283615, 0.6280961632728577]","[1, 0]","['JOE T BERELSON', 'SANDRA DONALDSON']"
gsa_(R)LDC02071-Lease-SF2-03,J MCLAY,2,1,True,"[0.6015138626098633, -0.11548856645822525]","[0, 1]","['J MCLAY', 'LISA RICHMOND']"
gsa_(R)LDC02071-Lease-SF2-03,LISA RICHMOND,2,1,True,"[-0.07410215586423874, 0.6260992288589478]","[1, 0]","['J MCLAY', 'LISA RICHMOND']"
gsa_(R)LDC02071-SLA-1-01,JAMES J CURTIS,3,1,True,"[0.6281105279922485, -0.1815444380044937, 0.00879085622727871]","[0, 2, 1]","['JAMES J CURTIS', 'LISA RICHMOND', 'SCOTT BABCOCK']"
gsa_(R)LDC02071-SLA-1-01,LISA RICHMOND,3,1,True,"[-0.038967158645391464, 0.6054174304008484, 0.0055428361520171165]","[1, 2, 0]","['JAMES J CURTIS', 'LISA RICHMOND', 'SCOTT BABCOCK']"
gsa_(R)LDC02071-SLA-1-01,SCOTT BABCOCK,3,1,True,"[0.07296816259622574, 0.09344139695167542, 0.5855282545089722]","[2, 1, 0]","['JAMES J CURTIS', 'LISA RICHMOND', 'SCOTT BABCOCK']"
gsa_(R)LDC02071-SLA-2-03,JAMES J CURTIS,2,1,True,"[0.5670093894004822, -0.10955715924501419]","[0, 1]","['JAMES J CURTIS', 'LISA RICHMOND']"
gsa_(R)LDC02071-SLA-2-03,LISA RICHMOND,2,1,True,"[-0.03856958448886871, 0.6610627174377441]","[1, 0]","['JAMES J CURTIS', 'LISA RICHMOND']"
gsa_(R)LDC02087-Lease-SF2-03,C RICHARD BEYDA,2,1,True,"[0.6056011915206909, 0.2580322027206421]","[0, 1]","['C RICHARD BEYDA', 'LISA RICHMOND']"
gsa_(R)LDC02087-Lease-SF2-03,LISA RICHMOND,2,1,True,"[0.07231792062520981, 0.5745067000389099]","[1, 0]","['C RICHARD BEYDA', 'LISA RICHMOND']"
gsa_(R)LDC02087-SLA-1-01,LISA RICHMOND,3,1,True,"[0.6103343367576599, 0.0744030699133873, 0.18559233844280243]","[0, 2, 1]","['LISA RICHMOND', 'RYAN WALKER', 'S LACH']"
gsa_(R)LDC02087-SLA-1-01,RYAN WALKER,3,1,True,"[-0.006373530253767967, 0.5129976868629456, -0.023961365222930908]","[1, 0, 2]","['LISA RICHMOND', 'RYAN WALKER', 'S LACH']"
gsa_(R)LDC02087-SLA-1-01,S LACH,3,1,True,"[0.24283044040203094, 0.11049385368824005, 0.5910980701446533]","[2, 0, 1]","['LISA RICHMOND', 'RYAN WALKER', 'S LACH']"
gsa_(R)LNJ23798-SLA-001--01,ALFONSO YAU,3,1,True,"[0.5461541414260864, 0.005912494845688343, 0.024538930505514145]","[0, 2, 1]","['ALFONSO YAU', 'PITER DESOURIS', 'STELLA YATES']"
gsa_(R)LNJ23798-SLA-001--01,PITER DESOURIS,3,1,True,"[0.05725488439202309, 0.6677265167236328, -0.015896232798695564]","[1, 0, 2]","['ALFONSO YAU', 'PITER DESOURIS', 'STELLA YATES']"
gsa_(R)LNJ23798-SLA-001--01,STELLA YATES,3,1,True,"[0.26896557211875916, -0.03466496244072914, 0.5440738201141357]","[2, 0, 1]","['ALFONSO YAU', 'PITER DESOURIS', 'STELLA YATES']"
gsa_(R)LRI04757-SLA-1--02,GEORGE E WELCH,2,1,True,"[0.6543592810630798, -0.04618492349982262]","[0, 1]","['GEORGE E WELCH', 'NATALIA MASELLI']"
gsa_(R)LRI04757-SLA-1--02,NATALIA MASELLI,2,1,True,"[-0.046432677656412125, 0.5659545063972473]","[1, 0]","['GEORGE E WELCH', 'NATALIA MASELLI']"
gsa_LAK07157-SLA-1-[1]_Z-01,J HOUSH,2,1,True,"[0.6293213367462158, 0.12428414076566696]","[0, 1]","['J HOUSH', 'MUCOTT']"
gsa_LAK07157-SLA-1-[1]_Z-01,MUCOTT,2,1,True,"[0.15678830444812775, 0.6152053475379944]","[1, 0]","['J HOUSH', 'MUCOTT']"
gsa_LAK07157-SLA-2-[1]_Z-01,J HARSH,2,1,True,"[0.6334213018417358, -0.10726616531610489]","[0, 1]","['J HARSH', 'MAC SLATT']"
gsa_LAK07157-SLA-2-[1]_Z-01,MAC SLATT,2,1,True,"[-0.08391329646110535, 0.5690658092498779]","[1, 0]","['J HARSH', 'MAC SLATT']"
gsa_LAK07176-SLA-1-_Z-01,DIIL ROCHEL,3,1,True,"[0.329741895198822, 0.009091086685657501, -0.13879700005054474]","[0, 1, 2]","['DIIL ROCHEL', 'FISHER', 'LANCE A NUNN']"
gsa_LAK07176-SLA-1-_Z-01,FISHER,3,1,True,"[-0.07930070906877518, 0.707109272480011, -0.04144050180912018]","[1, 2, 0]","['DIIL ROCHEL', 'FISHER', 'LANCE A NUNN']"
gsa_LAK07176-SLA-1-_Z-01,LANCE A NUNN,3,1,True,"[-0.100489042699337, -0.05967835336923599, 0.6196330785751343]","[2, 1, 0]","['DIIL ROCHEL', 'FISHER', 'LANCE A NUNN']"
gsa_LAK07176-SLA-2-_Z-01,DIIL ROCHEL,2,1,True,"[0.2842872738838196, -0.1268763542175293]","[0, 1]","['DIIL ROCHEL', 'SUSMETEEN']"
gsa_LAK07176-SLA-2-_Z-01,SUSMETEEN,2,1,True,"[-0.10582959651947021, 0.625471830368042]","[1, 0]","['DIIL ROCHEL', 'SUSMETEEN']"
gsa_LAK07183-SLA-1-_Z-01,SANDRA A VORE BLAINY,2,1,True,"[0.5471932291984558, 0.19257117807865143]","[0, 1]","['SANDRA A VORE BLAINY', 'THOMAS D POWERS']"
gsa_LAK07183-SLA-1-_Z-01,THOMAS D POWERS,2,1,True,"[0.0865228995680809, 0.5020167231559753]","[1, 0]","['SANDRA A VORE BLAINY', 'THOMAS D POWERS']"
gsa_LAK07183-SLA-2-_Z-01,NICOLE L WATTS,2,1,True,"[0.565509557723999, 0.009485792368650436]","[0, 1]","['NICOLE L WATTS', 'THOMAS D BLAZY']"
gsa_LAK07183-SLA-2-_Z-01,THOMAS D BLAZY,2,1,True,"[-0.09459225088357925, 0.6656594276428223]","[1, 0]","['NICOLE L WATTS', 'THOMAS D BLAZY']"
gsa_LAK07203-Lease-a_Z-01,ALOMITH,3,1,True,"[0.5589331984519958, -0.0386398546397686, 0.05146540328860283]","[0, 2, 1]","['ALOMITH', 'K SUSON', 'ROB KAVANAGH']"
gsa_LAK07203-Lease-a_Z-01,K SUSON,3,1,True,"[0.04181749373674393, 0.6347822546958923, 0.05368317663669586]","[1, 2, 0]","['ALOMITH', 'K SUSON', 'ROB KAVANAGH']"
gsa_LAK07203-Lease-a_Z-01,ROB KAVANAGH,3,1,True,"[0.07936983555555344, 0.07984579354524612, 0.6685371994972229]","[2, 1, 0]","['ALOMITH', 'K SUSON', 'ROB KAVANAGH']"
gsa_LAK07213-Lease-a_Z-01,ANDREW HICKS,3,1,True,"[0.330861896276474, -0.15081535279750824, -0.0786285325884819]","[0, 2, 1]","['ANDREW HICKS', 'K SUMNER', 'WILLIAM R HUGGETT']"
gsa_LAK07213-Lease-a_Z-01,K SUMNER,3,1,True,"[0.014801410026848316, 0.3215115964412689, -0.12393151223659515]","[1, 0, 2]","['ANDREW HICKS', 'K SUMNER', 'WILLIAM R HUGGETT']"
gsa_LAK07213-Lease-a_Z-01,WILLIAM R HUGGETT,3,1,True,"[-0.08707208186388016, -0.0845104455947876, 0.6000548601150513]","[2, 1, 0]","['ANDREW HICKS', 'K SUMNER', 'WILLIAM R HUGGETT']"
gsa_LAK07213-SLA-1-_Z-01,JAMES W KURTZ,3,1,True,"[0.5965601801872253, 0.04685014486312866, -0.0999310165643692]","[0, 1, 2]","['JAMES W KURTZ', 'LUIS HEINLEIN', 'WILLIAM R HUPPERT']"
gsa_LAK07213-SLA-1-_Z-01,LUIS HEINLEIN,3,1,True,"[-0.12047813087701797, 0.530136227607727, -0.0019504763185977936]","[1, 2, 0]","['JAMES W KURTZ', 'LUIS HEINLEIN', 'WILLIAM R HUPPERT']"
gsa_LAK07213-SLA-1-_Z-01,WILLIAM R HUPPERT,3,1,True,"[0.08992186188697815, 0.0017089217435568571, 0.5868105292320251]","[2, 0, 1]","['JAMES W KURTZ', 'LUIS HEINLEIN', 'WILLIAM R HUPPERT']"
gsa_LAK07213-SLA-2-_Z-01,JAMES W HICKS,2,1,True,"[0.6281440854072571, 0.3182615041732788]","[0, 1]","['JAMES W HICKS', 'LEWIS HEINLEIN']"
gsa_LAK07213-SLA-2-_Z-01,LEWIS HEINLEIN,2,1,True,"[0.1778271496295929, 0.5905842781066895]","[1, 0]","['JAMES W HICKS', 'LEWIS HEINLEIN']"
gsa_LAK07213-SLA-6-_Z-01,LEWIS HEINLEIN,2,1,True,"[0.6169442534446716, -0.10341835767030716]","[0, 1]","['LEWIS HEINLEIN', 'WILLIAM R HUGGINS']"
gsa_LAK07213-SLA-6-_Z-01,WILLIAM R HUGGINS,2,1,True,"[0.11515126377344131, 0.5346863269805908]","[1, 0]","['LEWIS HEINLEIN', 'WILLIAM R HUGGINS']"
gsa_LAK07230-SLA-2-_Z-01,J R LATSON,3,1,True,"[0.6639506220817566, 0.05512838065624237, 0.06775821000337601]","[0, 2, 1]","['J R LATSON', 'JOHRYE SHARP', 'SHAL R']"
gsa_LAK07230-SLA-2-_Z-01,JOHRYE SHARP,3,1,True,"[-0.07237157225608826, 0.5605222582817078, 0.22789034247398376]","[1, 2, 0]","['J R LATSON', 'JOHRYE SHARP', 'SHAL R']"
gsa_LAK07230-SLA-2-_Z-01,SHAL R,3,1,True,"[0.20719827711582184, -0.0054893894121050835, 0.5812168121337891]","[2, 0, 1]","['J R LATSON', 'JOHRYE SHARP', 'SHAL R']"
gsa_LAK07249-SLA-1-_Z-01,LINDA K SCHUBENUS,2,1,True,"[0.5445510745048523, 0.08345703780651093]","[0, 1]","['LINDA K SCHUBENUS', 'R SUMM']"
gsa_LAK07249-SLA-1-_Z-01,R SUMM,2,1,True,"[0.03813367336988449, 0.6314702033996582]","[1, 0]","['LINDA K SCHUBENUS', 'R SUMM']"
gsa_LAK07249-SLA-5-_Z-01,DEBORAH SHUSEK,2,1,True,"[0.5182701945304871, -0.04993875324726105]","[0, 1]","['DEBORAH SHUSEK', 'KATHY MINCKS']"
gsa_LAK07249-SLA-5-_Z-01,KATHY MINCKS,2,1,True,"[-0.0664745345711708, 0.6692227721214294]","[1, 0]","['DEBORAH SHUSEK', 'KATHY MINCKS']"
gsa_LAK07253-SLA-1-_Z-01,JAMES M POWELL,2,2,False,"[0.5893284678459167, 0.6005942225456238]","[1, 0]","['JAMES M POWELL', 'JUDITH M POWELL']"
gsa_LAK07253-SLA-1-_Z-01,JUDITH M POWELL,2,1,True,"[0.37622785568237305, 0.682616114616394]","[1, 0]","['JAMES M POWELL', 'JUDITH M POWELL']"
gsa_LAK07261-Lease-a_Z-01,KENNETH R COTTAM,4,1,True,"[0.3304026126861572, 0.3252679705619812, 0.05339851230382919, -0.013808832503855228]","[0, 1, 2, 3]","['KENNETH R COTTAM', 'LAWRENCE M LEITCH', 'LEWIS HEINLEIN', 'PAULO']"
gsa_LAK07261-Lease-a_Z-01,LAWRENCE M LEITCH,4,3,False,"[0.22147662937641144, 0.08760694414377213, 0.03262130916118622, 0.1100325733423233]","[0, 3, 1, 2]","['KENNETH R COTTAM', 'LAWRENCE M LEITCH', 'LEWIS HEINLEIN', 'PAULO']"
gsa_LAK07261-Lease-a_Z-01,LEWIS HEINLEIN,4,1,True,"[-0.03265383094549179, 0.015926683321595192, 0.5983123779296875, 0.03502520173788071]","[2, 3, 1, 0]","['KENNETH R COTTAM', 'LAWRENCE M LEITCH', 'LEWIS HEINLEIN', 'PAULO']"
gsa_LAK07261-Lease-a_Z-01,PAULO,4,1,True,"[0.12107464671134949, 0.012807019054889679, -0.015733933076262474, 0.5695095062255859]","[3, 0, 1, 2]","['KENNETH R COTTAM', 'LAWRENCE M LEITCH', 'LEWIS HEINLEIN', 'PAULO']"
gsa_LAK07261-SLA-1-_Z-01,JAMES A CORBETT,2,1,True,"[0.6144536137580872, 0.18295061588287354]","[0, 1]","['JAMES A CORBETT', 'KENNETH K GITHENS']"
gsa_LAK07261-SLA-1-_Z-01,KENNETH K GITHENS,2,1,True,"[0.048748940229415894, 0.5561283826828003]","[1, 0]","['JAMES A CORBETT', 'KENNETH K GITHENS']"
gsa_LAK07316-Lease_Z-01,JAMES A COFFELT,2,1,True,"[0.7410420775413513, 0.09207374602556229]","[0, 1]","['JAMES A COFFELT', 'SHARI FRANKE']"
gsa_LAK07316-Lease_Z-01,SHARI FRANKE,2,1,True,"[-0.018468603491783142, 0.6155204176902771]","[1, 0]","['JAMES A COFFELT', 'SHARI FRANKE']"
gsa_LAK07322-Lease-a_Z-01,LEWIS HENLEIN,2,1,True,"[0.6286232471466064, 0.23478776216506958]","[0, 1]","['LEWIS HENLEIN', 'W RUBIN']"
gsa_LAK07322-Lease-a_Z-01,W RUBIN,2,1,True,"[0.07904171198606491, 0.5514962077140808]","[1, 0]","['LEWIS HENLEIN', 'W RUBIN']"
gsa_LAK07326-Lease_Z-01,JAMES A COFFELT,3,1,True,"[0.7292357087135315, -0.10048697888851166, 0.09458944946527481]","[0, 2, 1]","['JAMES A COFFELT', 'RODNEY H JUDY', 'SAMUEL BRAGA']"
gsa_LAK07326-Lease_Z-01,RODNEY H JUDY,3,1,True,"[-0.11538734287023544, 0.5989646911621094, -0.04046543687582016]","[1, 2, 0]","['JAMES A COFFELT', 'RODNEY H JUDY', 'SAMUEL BRAGA']"
